Unnamed: 0,name,audio_path,transcription
0,SP10_THA_M_1,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_1.wav,ஆயி இந்த பொடவ மடிப்ப எடுத்து விடேன்
1,SP10_THA_M_2,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_2.wav,நானும் எடுத்து விட்டு விட்டு பாக்கேன் நிக்கவே மாட்டங்கது
2,SP10_THA_M_3,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_3.wav,எம்மோவ் நல்ல பட்டு பொடவ கட்டிக்கிட்டு பூவெல்லாம் வெச்சு கிட்டு எங்கம்மா போற
3,SP10_THA_M_4,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_4.wav,நடுத்தெருவுல தமிழரசி சின்னம்மா இருகால அவா மவலுக்கு பரிசம் போடுராவோ போயிட்டு வந்துருதேன்
4,SP10_THA_M_5,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_5.wav,இல்லாட்டி அவா கோவ்ச்சுக்குவா
5,SP10_THA_M_6,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_6.wav,எம்மாவோ திங்க ஏதாது தீனி கீனி இருந்தா எடுத்து குடுத்துட்டு போயேன்
6,SP10_THA_M_7,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_7.wav,ஏலே பொழுது விடிஞ்சு பொழுது போனா அந்த ஒரத்தநாடு மாவு மில்லு மாதிரி நல்லா அரச்சுக்கிட்டே இருக்க
7,SP10_THA_M_8,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_8.wav,இதுல நான் வேற தீனிய கொண்டாந்து கைல குடுத்துட்டு போறேன் இரு
8,SP10_THA_M_9,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_9.wav,அப்படி சொல்லுமா எப்போ பாத்தாலும் ஏன் தீனியவும் சேத்து தின்னுருதான்
9,SP10_THA_M_10,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_10.wav,ரெண்டு பேரும் அடிச்சுக்காதீங்க செத்த செவனேனு இருங்க
10,SP10_THA_M_11,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_11.wav,அது என்னடி எடுத்தவுடன கைய நீட்டுற பழக்கம்
11,SP10_THA_M_12,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_12.wav,கைய ஒடச்சு அடுப்புல வச்சுருவேன் பாத்துக்கோ
12,SP10_THA_M_13,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_13.wav,என்னையவே திட்டு ஏன் தீனிய புல்லா திருடி தின்னுட்டு போயிறுதான்
13,SP10_THA_M_14,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_14.wav,ஏலே அதான் வாங்கிட்டு வரத பாதியா பங்கு பிரிச்சு தாரென்லா அப்புறம் எத்துக்கு திருடி தின்னு தொலையுற
14,SP10_THA_M_15,E:/Work/My Papers/Dravidian Lang Tech 2026/Dialect based speech processing/Final Dataset/Train/Central_Dialect/SP10_THA_audio/SP10_THA_M_15.wav,அவா திங்காம வச்சுருந்தா எனக்கு பசிச்சுது கொஞ்சோண்டு தின்னேன்
